provincia,departamento,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
BUENOS AIRES,9 DE JULIO,2,778.0,463417.06629055005,9913.318685171658,0.0,9913.318685171658,0.0,0.0
BUENOS AIRES,BALCARCE,4,1986.7,1136908.448519041,31705.77738495252,21084.0193839614,10621.758000991118,0.6649898259226352,0.01854504591941933
BUENOS AIRES,BENITO JUAREZ,3,592.0,336914.80959097325,11030.95788166545,0.0,11030.95788166545,0.0,0.0
BUENOS AIRES,BOLIVAR,6,1880.0,955436.8095909733,27660.993367421477,64327.93508890699,-36666.94172148551,2.3255829692895644,0.06732829889236323
BUENOS AIRES,TANDIL,6,749.5,451950.0,16684.86793279766,0.0,16684.86793279766,0.0,0.0
BUENOS AIRES,CARLOS TEJEDOR,2,709.0,401380.95909732016,9043.774974433893,0.0,9043.774974433893,0.0,0.0
BUENOS AIRES,CHIVILCOY,1,216.5,96301.27644569817,2743.0715266617967,0.0,2743.0715266617967,0.0,0.0
BUENOS AIRES,COLON,3,438.8,248639.22651622002,4591.329240321402,0.0,4591.329240321402,0.0,0.0
BUENOS AIRES,GENERAL PINTO,3,481.0,167541.22002820874,4629.78981008035,0.0,4629.78981008035,0.0,0.0
BUENOS AIRES,GENERAL VILLEGAS,10,13158.75,5305348.605535966,166294.1195471147,1450.2957501434648,164843.82379697124,0.008721269002735631,0.0002733648357489885
BUENOS AIRES,LEANDRO N. ALEM,3,1242.0,534601.8688293371,9834.221577794011,4174.777122708039,5659.444455085972,0.4245152592590369,0.0078091330504509865
BUENOS AIRES,LINCOLN,4,8452.0,3558144.5952045135,81541.58876552228,52352.64112598531,29188.947639536964,0.6420360691834013,0.014713466450054767
BUENOS AIRES,MAIPU,3,1000.11,766214.5973201692,20201.67265887509,0.0,20201.67265887509,0.0,0.0
BUENOS AIRES,OLAVARRIA,2,677.0,447063.4696755994,12392.781738495252,0.0,12392.781738495252,0.0,0.0
BUENOS AIRES,PEHUAJO,3,491.0,221939.42172073343,7675.8340759678595,36666.319154489756,-28990.485078521895,4.776851452441855,0.1652086811356435
BUENOS AIRES,PERGAMINO,1,442.0,99990.2538787024,2505.762512783054,0.0,2505.762512783054,0.0,0.0
BUENOS AIRES,PUAN,5,8692.0,2542632.4929478136,79214.94460920378,181399.46380553275,-102184.51919632897,2.2899651663009104,0.07134317063463087
BUENOS AIRES,RAMALLO,2,1996.0,468104.53102961916,13377.204046749455,692.0519393511989,12685.152107398257,0.05173367595595296,0.0014784132463511864
