provincia,cultivo,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
BUENOS AIRES,TRIGO,33,19650.1,7138452.22538787,233822.1242293645,387278.170936828,-153456.0467074635,1.6562939551303237,0.054252400759855914
BUENOS AIRES,FINA OTROS,20,9290.3,3203494.71438646,96473.98655953252,253952.86420393747,-157478.87764440494,2.6323454981019916,0.07927369540004846
CORDOBA,TRIGO,8,8030.33,3104686.901974612,139045.37945945945,12836.297392236518,126209.08206722293,0.09231732433064496,0.004134490142652551
CORDOBA,FINA OTROS,3,1015.0,184193.54724964738,8563.531512052594,1037.174492242595,7526.357019809999,0.12111527712402784,0.005630894826282144
LA PAMPA,TRIGO,6,3506.0,1055997.8490832157,42869.786325785244,49912.363264538886,-7042.576938753642,1.164278330786027,0.047265591788724984
LA PAMPA,FINA OTROS,3,1308.0,433908.9562764457,13584.239028487948,12147.713202681583,1436.525825806364,0.8942505485368905,0.027995995535391095
SANTA FE,TRIGO,7,4290.0,1545664.012693935,45486.53324324324,996.9574047954867,44489.57583844775,0.02191763877594648,0.0006450026633264828
SANTA FE,FINA OTROS,2,590.5,268426.110719323,8758.876603360117,2587.2836370220716,6171.592966338045,0.2953898946389457,0.009638718193579306
BUENOS AIRES,GIRASOL,19,5414.099999999999,2447188.3593088854,87296.49026296569,576.1902891396333,86720.29997382606,0.006600383215911189,0.00023544991416286245
CORDOBA,GIRASOL,6,4450.0,2205358.7122708037,70342.67639152666,952.1951339915373,69390.48125753512,0.01353652125335164,0.00043176428791082486
LA PAMPA,GIRASOL,12,16396.0,5239994.682651622,201329.90212563917,13925.281577763104,187404.62054787605,0.06916648461425806,0.0026574991810328365
SANTA FE,GIRASOL,3,2258.7,989415.505641749,34545.360657414174,0.0,34545.360657414174,0.0,0.0
BUENOS AIRES,MAIZ,17,4858.5,2500327.0733427363,59149.31576333091,2150.858441466855,56998.45732186406,0.036363200718549316,0.0008602308331570917
CORDOBA,MAIZ,8,6734.0,3888657.387165021,121013.41720964207,20707.923499888217,100305.49370975385,0.17112088871942258,0.0053252116188577565
LA PAMPA,MAIZ,9,20765.0,5910494.512693935,175474.12560993424,12868.932149386836,162605.1934605474,0.07333806112243296,0.002177302105897959
SANTA FE,MAIZ,6,1488.0,1266794.7813822285,25946.170043827613,0.0,25946.170043827613,0.0,0.0
BUENOS AIRES,SOJA,19,16689.21,7285945.672073344,187006.5460847334,3176.2992595204514,183830.24682521293,0.016984962965313835,0.0004359487982040607
CORDOBA,SOJA,12,20365.42,8292878.03751763,347311.11927684443,19003.037187754024,328308.0820890904,0.05471473884084475,0.00229148880542832
LA PAMPA,SOJA,8,15068.0,5709304.955571228,178046.3845069394,7601.854126863112,170444.53038007626,0.042695919649897905,0.0013314850381998084
SAN LUIS,SOJA,1,440.0,64510.57827926657,5512.615047479912,0.0,5512.615047479912,0.0,0.0
SANTA FE,SOJA,5,4166.5,1997403.17348378,45988.4561723886,1597.8821076918796,44390.57406469672,0.034745286984676944,0.0007999797581701676
BUENOS AIRES,SORGO,1,147.0,112958.9562764457,2685.133791088386,0.0,2685.133791088386,0.0,0.0
CORDOBA,SORGO,2,130.0,60521.861777150916,2430.606829802776,0.0,2430.606829802776,0.0,0.0
