registro_id,anio_contrato,cosecha,cobertura,cultivo,provincia,departamento,provincia_norm,departamento_norm,cultivo_norm,cobertura_norm,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,prima_por_ha_usd,suma_asegurada_por_ha_usd,siniestros_por_ha_usd,share_suma_asegurada_pct,siniestro_flag,semaforo_loss_ratio,cluster_negocio,fuente_archivo,fuente_solapa,fuente_columnas
1,2025,FINA,BASICA,TRIGO,BUENOS AIRES,9 DE JULIO,BUENOSAIRES,9DEJULIO,TRIGO,BASICA,213.0,120338.08180535966,0.0,3453.1456391526663,0.0,0.0,0.0,0.0,3453.1456391526663,0.02869536880883595,0.0,0.0,16.211951357524256,564.9675202129562,0.0,0.0018540197438783434,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
2,2025,FINA,BASICA,TRIGO,BUENOS AIRES,BALCARCE,BUENOSAIRES,BALCARCE,TRIGO,BASICA,474.8,335437.90197461215,0.0,7781.0,0.0,0.0,0.0,0.0,7781.0,0.023196543843721364,0.0,0.0,16.387952822240944,706.4825231141789,0.0,0.0051680106893507135,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
3,2025,FINA,BASICA,TRIGO,BUENOS AIRES,BENITO JUAREZ,BUENOSAIRES,BENITOJUAREZ,TRIGO,BASICA,256.0,143634.41466854725,0.0,4463.263696128561,0.0,0.0,0.0,0.0,4463.263696128561,0.031073776479181883,0.0,0.0,17.43462381300219,561.0719322990127,0.0,0.0022129407142007073,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
4,2025,FINA,BASICA,TRIGO,BUENOS AIRES,BOLIVAR,BUENOSAIRES,BOLIVAR,TRIGO,BASICA,559.0,316359.3088857546,0.0,8912.967129291454,1350.7669831994156,2033.5167713659605,0.0,3384.283754565376,5528.683374726077,0.028173557341124908,0.010697594979850986,0.3797033810932963,15.944485025566106,565.9379407616361,6.054174873998884,0.004874071416416521,True,Normal,Rentable con siniestro,Copia de REA 25-26 v2.xlsx,25-26,A:M
5,2025,FINA,BASICA,TRIGO,BUENOS AIRES,TANDIL,BUENOSAIRES,TANDIL,TRIGO,BASICA,73.0,43645.557122708036,0.0,2056.9523009495983,0.0,0.0,0.0,0.0,2056.9523009495983,0.04712856099342586,0.0,0.0,28.177428780131486,597.8843441466854,0.0,0.0006724365506253793,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
6,2025,FINA,BASICA,TRIGO,BUENOS AIRES,CARLOS TEJEDOR,BUENOSAIRES,CARLOSTEJEDOR,TRIGO,BASICA,209.0,113387.30606488012,0.0,3019.1657706355004,0.0,0.0,0.0,0.0,3019.1657706355004,0.02662701739212268,0.0,0.0,14.445769237490433,542.5229955257422,0.0,0.0017469308218614253,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
7,2025,FINA,BASICA,TRIGO,BUENOS AIRES,CHIVILCOY,BUENOSAIRES,CHIVILCOY,TRIGO,BASICA,216.5,96301.27644569817,0.0,2743.0715266617967,0.0,0.0,0.0,0.0,2743.0715266617967,0.028484269657718865,0.0,0.0,12.670076335620308,444.8095909732017,0.0,0.00148369049275521,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
8,2025,FINA,BASICA,TRIGO,BUENOS AIRES,COLON,BUENOSAIRES,COLON,TRIGO,BASICA,142.8,8443.528349788434,0.0,247.5045507669832,0.0,0.0,0.0,0.0,247.5045507669832,0.029312929442960278,0.0,0.0,1.733225145427053,59.128349788434406,0.0,0.0001300874007101471,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
9,2025,FINA,BASICA,TRIGO,BUENOS AIRES,GENERAL PINTO,BUENOSAIRES,GENERALPINTO,TRIGO,BASICA,411.0,103378.96332863187,0.0,2569.8998392987583,0.0,0.0,0.0,0.0,2569.8998392987583,0.024859021183345507,0.0,0.0,6.252797662527392,251.53032440056415,0.0,0.0015927347040728898,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
10,2025,FINA,BASICA,TRIGO,BUENOS AIRES,GENERAL VILLEGAS,BUENOSAIRES,GENERALVILLEGAS,TRIGO,BASICA,2018.0,881066.5884344147,0.0,24346.0,0.0,0.0,0.0,0.0,24346.0,0.027632417707793126,0.0,0.0,12.064420218037661,436.60385948187053,0.0,0.013574379997772121,False,Normal,Sin siniestros,Copia de REA 25-26 v2.xlsx,25-26,A:M
