provincia,departamento,cultivo,provincia_norm,departamento_norm,cultivo_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,SOJA,CORDOBA,PRESIDENTEROQUESAENZPENA,SOJA,1,5400.5,3095177.1579689705,0.0,93804.0,0.0,0.0,0.0,0.0,93804.0,0.030306504349351494,0.0,0.0,0.04768664645126615,Normal
LA PAMPA,CHAPALEUFU,SOJA,LAPAMPA,CHAPALEUFU,SOJA,1,5029.0,2472703.843441467,0.0,84201.0,0.0,0.0,0.0,0.0,84201.0,0.03405219764725665,0.0,0.0,0.03809635052949764,Normal
BUENOS AIRES,GENERAL VILLEGAS,SOJA,BUENOSAIRES,GENERALVILLEGAS,SOJA,2,5642.5,2207209.538081805,71166.98166431594,67453.14024835646,0.0,0.0,0.0,0.0,67453.14024835646,0.030560370043968367,0.0,0.0,0.03400594392969628,Normal
LA PAMPA,MARACO,SOJA,LAPAMPA,MARACO,SOJA,1,5131.0,2122725.282087447,0.0,58607.0,0.0,0.0,0.0,0.0,58607.0,0.027609319253204073,0.0,0.0,0.03270431541517699,Normal
LA PAMPA,CONHELLO,GIRASOL,LAPAMPA,CONHELLO,GIRASOL,1,5285.0,1932027.4858956276,0.0,60072.0,3106.1311176040904,368.8198392987582,0.0,3474.9509569028487,56597.049043097155,0.031092725356416186,0.0017986032715740427,0.05784643356144042,0.02976628055580818,Normal
LA PAMPA,MARACO,MAIZ,LAPAMPA,MARACO,MAIZ,1,3700.0,1572907.0662905502,0.0,48747.37180423667,0.0,0.0,0.0,0.0,48747.37180423667,0.030991895738124917,0.0,0.0,0.024233399040756186,Normal
CORDOBA,TERCERO ARRIBA,SOJA,CORDOBA,TERCEROARRIBA,SOJA,1,3801.0,1405092.136812412,0.0,78156.53951789626,3095.7487216946674,5215.732140248357,0.0,8311.480861943024,69845.05865595324,0.05562378257642376,0.005915256832052612,0.10634402333076509,0.021647914978668015,Normal
BUENOS AIRES,LINCOLN,TRIGO,BUENOSAIRES,LINCOLN,TRIGO,1,3196.0,1343393.497884344,0.0,33329.46867786705,50015.342775748715,1189.1959313367422,0.0,51204.538707085456,-17875.070029218405,0.024809907692985175,0.038115815498381826,1.5363142809740804,0.020697338959614633,Crítico
CORDOBA,SAN JUSTO,MAIZ,CORDOBA,SANJUSTO,MAIZ,1,2350.0,1328430.1833568406,0.0,27627.561183345508,0.0,0.0,0.0,0.0,27627.561183345508,0.020797149544986092,0.0,0.0,0.02046680278892243,Normal
BUENOS AIRES,PUAN,FINA OTROS,BUENOSAIRES,PUAN,FINAOTROS,3,4672.0,1325114.8977433005,29368.18053596615,36583.737005113224,52460.85028487948,1307.8885390796202,0.0,53768.7388239591,-17185.00181884588,0.027607973517931254,0.040576661628005564,1.46974429693839,0.020415724984690506,Crítico
CORDOBA,SAN JUSTO,GIRASOL,CORDOBA,SANJUSTO,GIRASOL,1,2366.0,1323256.688293371,0.0,31131.0,0.0,0.0,0.0,0.0,31131.0,0.02352604772408159,0.0,0.0,0.02038709600077498,Normal
CORDOBA,RIO CUARTO,SOJA,CORDOBA,RIOCUARTO,SOJA,1,3648.92,1310362.1121297602,0.0,86293.66891891892,0.0,0.0,0.0,0.0,86293.66891891892,0.06585482602107896,0.0,0.0,0.02018843238209652,Normal
SANTA FE,SAN MARTIN,SOJA,SANTAFE,SANMARTIN,SOJA,1,2427.0,1286252.9619181945,0.0,27525.02366691015,0.0,0.0,0.0,0.0,27525.02366691015,0.02139938603201501,0.0,0.0,0.019816988531323916,Normal
LA PAMPA,QUEMU QUEMU,MAIZ,LAPAMPA,QUEMUQUEMU,MAIZ,1,3714.0,1278913.3286318758,0.0,32645.0,0.0,0.0,0.0,0.0,32645.0,0.02552557649463405,0.0,0.0,0.019703908575074727,Normal
BUENOS AIRES,LINCOLN,SOJA,BUENOSAIRES,LINCOLN,SOJA,1,3240.0,1252634.7672778561,0.0,24408.313257852446,0.0,0.0,0.0,0.0,24408.313257852446,0.019485578634301358,0.0,0.0,0.019299041131119,Normal
LA PAMPA,CONHELLO,SOJA,LAPAMPA,CONHELLO,SOJA,1,3715.0,1235797.9019746121,0.0,41111.032856099344,0.0,0.0,0.0,0.0,41111.032856099344,0.0332667928877451,0.0,0.0,0.01903963961641209,Normal
BUENOS AIRES,PUAN,TRIGO,BUENOSAIRES,PUAN,TRIGO,2,4020.0,1217517.5952045135,229508.68476727782,42631.20760409057,112909.13820306794,6847.7612636961285,0.0,119756.89946676407,-77125.6918626735,0.03501485955685885,0.09836153492849342,2.809136925674916,0.018757999347866556,Crítico
BUENOS AIRES,GENERAL VILLEGAS,TRIGO,BUENOSAIRES,GENERALVILLEGAS,TRIGO,2,2871.0,1203216.2710860367,193289.8095909732,43662.3276844412,950.954565376187,0.0,0.0,950.954565376187,42711.373119065014,0.03628801299788864,0.000790343837785575,0.02177974963334476,0.01853766230342084,Normal
LA PAMPA,QUEMU QUEMU,GIRASOL,LAPAMPA,QUEMUQUEMU,GIRASOL,2,2585.0,1144222.0564174894,0.0,44372.95636230825,2764.879474068663,3091.100737764792,0.0,5855.9802118334555,38516.9761504748,0.03878002186152406,0.005117870415964783,0.13197182905774799,0.01762875269534686,Normal
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,TRIGO,CORDOBA,PRESIDENTEROQUESAENZPENA,TRIGO,1,2014.33,1129359.0176304653,0.0,42232.0,0.0,0.0,0.0,0.0,42232.0,0.03739466311484186,0.0,0.0,0.017399761448754256,Normal
CORDOBA,JUAREZ CELMAN,SOJA,CORDOBA,JUAREZCELMAN,SOJA,1,2669.0,1121616.2905500706,0.0,44185.67678597516,0.0,0.0,0.0,0.0,44185.67678597516,0.039394646064123524,0.0,0.0,0.017280471123836728,Normal
LA PAMPA,QUEMU QUEMU,SOJA,LAPAMPA,QUEMUQUEMU,SOJA,2,2651.0,984884.3582510579,0.0,29028.794937910887,3536.1911541271,1339.1431701972242,0.0,4875.334324324324,24153.46061358656,0.02947431817219614,0.004950159156737819,0.1679482160645001,0.015173875287358005,Normal
SANTA FE,SAN MARTIN,MAIZ,SANTAFE,SANMARTIN,MAIZ,1,1128.0,957909.0267983074,0.0,17919.229364499635,0.0,0.0,0.0,0.0,17919.229364499635,0.01870660873130348,0.0,0.0,0.014758272874881838,Normal
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,MAIZ,CORDOBA,PRESIDENTEROQUESAENZPENA,MAIZ,1,1386.0,955152.3977433004,0.0,30240.0,0.0,0.0,0.0,0.0,30240.0,0.03165986922238463,0.0,0.0,0.014715802157234883,Normal
LA PAMPA,CHAPALEUFU,GIRASOL,LAPAMPA,CHAPALEUFU,GIRASOL,2,1926.0,849723.1205923836,0.0,40371.69548575602,0.0,0.0,0.0,0.0,40371.69548575602,0.04751158878389814,0.0,0.0,0.013091478763608078,Normal
LA PAMPA,CONHELLO,MAIZ,LAPAMPA,CONHELLO,MAIZ,1,2546.0,842315.2679830748,0.0,28528.02909422937,3996.318714390066,989.9771512052592,0.0,4986.295865595325,23541.733228634042,0.033868588376107414,0.005919750068801458,0.17478585180649406,0.012977347768736366,Normal
CORDOBA,JUAREZ CELMAN,MAIZ,CORDOBA,JUAREZCELMAN,MAIZ,1,1400.0,836801.8335684062,0.0,29836.863403944484,18632.169466764062,602.6203871439006,0.0,19234.78985390796,10602.073550036523,0.03565582938162313,0.022986075176107477,0.6446652784342302,0.01289240361715925,Normal
LA PAMPA,CATRILO,MAIZ,LAPAMPA,CATRILO,MAIZ,1,4173.0,829998.8885754584,0.0,22340.78117604091,0.0,0.0,0.0,0.0,22340.78117604091,0.026916639869704863,0.0,0.0,0.012787592287742814,Normal
LA PAMPA,CATRILO,GIRASOL,LAPAMPA,CATRILO,GIRASOL,2,4209.0,750563.4569816643,0.0,35395.22864864865,0.0,0.0,0.0,0.0,35395.22864864865,0.04715820936844961,0.0,0.0,0.01156374979059714,Normal
CORDOBA,GENERAL ROCA,TRIGO,CORDOBA,GENERALROCA,TRIGO,1,1250.0,749742.736248237,0.0,36969.337472607745,0.0,0.0,0.0,0.0,36969.337472607745,0.04930936397944286,0.0,0.0,0.011551105144603483,Normal
BUENOS AIRES,GENERAL VILLEGAS,MAIZ,BUENOSAIRES,GENERALVILLEGAS,MAIZ,1,1921.0,672580.4654442878,0.0,15035.989006574142,0.0,0.0,0.0,0.0,15035.989006574142,0.022355673081646505,0.0,0.0,0.010362284686384764,Normal
SANTA FE,SAN MARTIN,GIRASOL,SANTAFE,SANMARTIN,GIRASOL,1,777.0,637214.0141043724,0.0,18019.102111029948,0.0,0.0,0.0,0.0,18019.102111029948,0.028277943849613,0.0,0.0,0.009817402317716366,Normal
SANTA FE,SAN MARTIN,TRIGO,SANTAFE,SANMARTIN,TRIGO,1,2015.0,612100.1551480959,0.0,15705.114872169464,0.0,0.0,0.0,0.0,15705.114872169464,0.02565775345763416,0.0,0.0,0.009430479162125242,Normal
LA PAMPA,CHAPALEUFU,MAIZ,LAPAMPA,CHAPALEUFU,MAIZ,1,2519.0,585361.8124118476,0.0,20041.101358655953,0.0,0.0,0.0,0.0,20041.101358655953,0.03423711785379583,0.0,0.0,0.009018527977530388,Normal
CORDOBA,SAN JUSTO,SOJA,CORDOBA,SANJUSTO,SOJA,1,1525.0,571756.4174894217,0.0,13096.349883126368,0.0,0.0,0.0,0.0,13096.349883126368,0.022905470725859706,0.0,0.0,0.00880891294602075,Normal
